tld,badness_percent,score
xn--qxa6a,0.0,0.00
xn--qxam,0.0,0.00
xn--rhqv96g,0.0,0.00
xn--ses554g,0.1,0.00
xn--t60b56a,0.0,0.00
xn--tckwe,1.5,0.00
xn--unup4y,0.0,0.00
xn--vhquv,0.0,0.00
xn--vuq861b,0.0,0.00
xn--w4r85el8fhu5dnra,0.0,0.00
xn--wgbh1c,0.0,0.00
xn--xhq521b,0.0,0.00
xn--y9a3aq,0.0,0.00
xn--ygbi2ammx,0.0,0.00
xxx,0.0,0.00
xyz,4.4,0.39
yachts,0.0,0.00
yandex,0.0,0.00
ye,0.0,0.00
yoga,3.8,0.13
yokohama,2.5,0.03
youtube,0.0,0.00
yt,1.4,0.00
za,0.2,0.01
zm,1.4,0.00
zone,3.3,0.14
zw,1.2,0.03
