Label,Domain_score,Domain_name,DomainToolRegistrars,knujon,DomainNameEntropy,registrar_prices,ttlRisk,spamhausTld,domain_age,AlexaLevSim
maleware,6.222222222,s8s8s8.com,0.6,0.16851665,0.282871947,0.6,0.7,0.060869565,0.5,0.7
maleware,6.333333333,seqsixxx.com,0.6,0.6,0.235068001,0.6,0.7,0.060869565,0.5,0.666666667
maleware,6.111111111,test.gaxtoa.com,0.097315436,0.272452069,0.082793308,0,0.7,0.060869565,0.5,0.666666667
maleware,5.777777778,v1tj.jiguangie.com,0.6,0.16851665,0.109123136,0.6,0.7,0.060869565,0.5,0.692307692
maleware,5.777777778,tz.jiguangie.com,0.6,0.16851665,0.093410616,0.6,0.7,0.060869565,0.5,0.625
maleware,5.777777778,www.vipmingxing.com,0.6,0.6,0.108399778,0.6,0.7,0.060869565,0.5,0.578947368
maleware,5.222222222,xiazai.dns-vip.net,0.6,0.6,0.129083347,0.6,0.1,0.058385093,0.5,0.5
maleware,5.666666667,andlu.org,0.6,0.6,0.037860458,0.6,0.7,0.01863354,0.5,0.777777778
maleware,6,din8win7.in,0.6,0.6,0.328785931,0.6,0.7,0.028571429,0.5,0.583333333
maleware,5.555555556,okboobs.com,0.6,0.6,0.038293347,0.6,0.5,0.060869565,0.5,0.727272727
maleware,6.333333333,qwepa.com,0.6,0.6,0.17570451,0.6,0.7,0.060869565,0.5,0.777777778
maleware,6.111111111,stroyeq.ru,0.6,0.6,0.157793462,0.6,0.7,0.034782609,0.5,0.727272727
maleware,6,yixingim.com,0.097315436,0.272452069,0.102901019,0,0.6,0.060869565,0.5,0.75
maleware,5.888888889,huohuasheji.com,0.6,0.6,0.066049238,0.6,0.7,0.060869565,0.5,0.666666667
maleware,6.888888889,man1234.com,0.6,0.6,0.329591281,0.6,0.6,0.060869565,0.5,0.818181818
maleware,5.666666667,www.jwdn.net,0.6,0.6,0.070405036,0.6,0.6,0.058385093,0.5,0.583333333
maleware,6.222222222,blacksoftworld.com,0.6,0.39556004,0.068483625,0.415891539,0.6,0.060869565,0.5,0.833333333
maleware,5.666666667,bradyhansen.com,0.097315436,0.272452069,0.055366892,0,0.6,0.060869565,0.5,0.666666667
maleware,6.111111111,stabroom.cn,0.6,0.6,0.036843036,0.6,0.7,0.288198758,0.5,0.727272727
maleware,5.222222222,www.infoaz.nl,0.6,0.6,0.09237357,0.6,0.5,0.004968944,0.5,0.538461538
maleware,5.888888889,abbyspanties.com,0.097315436,0.272452069,0.048494127,0,0.7,0.060869565,0.5,0.6875
maleware,5.444444444,cheshirehockey.com,0.6,0.39556004,0.056718103,0.415891539,0.7,0.060869565,0.5,0.611111111
maleware,5.333333333,cibonline.org,0.6,0.16851665,0.036784729,0.6,0.7,0.01863354,0.5,0.785714286
